Property Address,Property Name,Number Of Units,Star Rating,Building Class,PropertyType,Secondary Type,Affordable Type,Building Status,Market Name,Submarket Name,City,State,Zip,Avg Unit SF,Avg Asking/SF,Avg Asking/Unit,For Sale Price,Cap Rate,$Price/Unit,Sale Company Name,Sale Company Address,Sale Company City State Zip,Sale Company Phone,Sale Company Fax,Sale Company Contact,Vacancy %,Month Built,Year Built,Year Renovated,Number Of Stories,Country,Continent,Subcontinent
1900 Abberly Cir,Abberly at CenterPointe,271,4,B,Multi-Family,Apartments,,Existing,Richmond/Petersburg,Midlothian,Midlothian,VA,23114,957,1.83,1751,,,,,,,,,,4.13,7,2019,,4,United States,Americas,North America
3524 Festival Park Plz,Chester Village Green Apartments,137,4,A,Multi-Family,Apartments,,Existing,Richmond/Petersburg,Chesterfield County,Chester,VA,23831-4449,1076,1.43,1541,,,,,,,,,,2.12,,2004,,2,United States,Americas,North America
2260 Golden Garden Cir,Chesterfield Gardens,105,4,A,Multi-Family,Apartments,,Existing,Richmond/Petersburg,Chesterfield County,Chester,VA,23836,1004,1.56,1568,,,,,,,,,,1.79,,2002,,2,United States,Americas,North America
2609 Mangowood Dr,Colonial Ridge,100,2,C,Multi-Family,Apartments,Rent Subsidized,Existing,Richmond/Petersburg,Chesterfield County,Colonial Heights,VA,23834-5044,911,1.41,1280,,,,,,,,,,2.22,,1981,2015,3,United States,Americas,North America
10250 Colony Village Way,Colony Village,166,4,A,Multi-Family,Apartments,,Existing,Richmond/Petersburg,Chesterfield County,North Chesterfield,VA,23237,871,1.66,1441,,,,,,,,,,5.02,2,2014,,3,United States,Americas,North America
3524 Festival Park Plz,Festival Park Apartments,99,3,C,Multi-Family,Apartments,,Existing,Richmond/Petersburg,Chesterfield County,Chester,VA,23831,1036,1.61,1669,,,,,,,,,,3.95,,2004,,2,United States,Americas,North America
18101 Golden Bear Trace,Glenmoor Oaks,248,4,B,Multi-Family,Apartments,,Existing,Richmond/Petersburg,Chesterfield County,Moseley,VA,23120,928,1.81,1683,,,,,,,,,,6.40,7,2020,,4,United States,Americas,North America
3524 Festival Park Plz,Park at Village Green,65,3,B,Multi-Family,Apartments,,Existing,Richmond/Petersburg,Chesterfield County,Chester,VA,23831-4449,1047,1.28,1338,,,,,,,,,,,,,,2,United States,Americas,North America
12300 Mooreâ€™s Lake Rd,The Jane at Moore's Lake,385,4,A,Multi-Family,Apartments,,Existing,Richmond/Petersburg,Chesterfield County,Chester,VA,23831-2317,833,1.95,1629,,,,,,,,,,18.18,2,2019,,4,United States,Americas,North America
12000 Reserve Manor Cir,The Reserve at Rivington,276,4,A,Multi-Family,Apartments,,Existing,Richmond/Petersburg,Chesterfield County,Chester,VA,23831,1015,1.57,1593,,,,,,,,,,2.28,11,2020,,3,United States,Americas,North America
1920 Dunlap Cres,White Oak Luxury Apartments,322,4,B,Multi-Family,Apartments,,Existing,Richmond/Petersburg,Chesterfield County,Chester,VA,23836,1114,1.53,1704,,,,,,,,,,7.29,,2008,,3,United States,Americas,North America
1104 Winterlake Dr,Winterfield at Midlothian Apartments,238,4,A,Multi-Family,Apartments,,Existing,Richmond/Petersburg,Midlothian,Midlothian,VA,23113-4354,891,1.68,1499,,,,,,,,,,,7,2019,,3,United States,Americas,North America
