Property Address,County Name,State,Zip,Property Name,Building Status,Number Of Units,Style,Star Rating,Market Name,Year Built,Year Renovated,Building Park,Total Buildings,Zoning,Number Of Stories,$Price/Unit,Vacancy %,Avg Unit SF,Avg Asking/Unit,Avg Effective/Unit,Rent Type,Affordable Type,Market Segment,Amenities,Developer Name,Owner Name,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Number Of Studios Units,Latitude,Longitude
6700 Iron Creek Rd,Chesterfield,VA,23831-1483,Ironbridge Road Apartments,Existing,80,Garden,3,Richmond,2016,,,5,C3,2,,12.5,885.00,822,814,Affordable,Affordable Units,All,"24 Hour Access, Air Conditioning, Clubhouse, Laundry Facilities, Property Manager on Site, Wi-Fi, Maintenance on site, Grill",Surber Development and Consulting,"GEM Management, LLC",16,64,,,,37.361904,-77.495388
21203 Orange Hill Ave,Chesterfield,VA,23803-1921,,Existing,2,Low-Rise,2,Richmond,1965,2008,,,R-7,2,,2.2,800.00,,,Market/Affordable,Affordable Units,All,"Air Conditioning, Family Room",,,,2,,,,37.236272,-77.425362
6850 Arbor Lake Dr,Chesterfield,VA,23831,Arbor Lake Apartments,Existing,126,Garden,3,Richmond,1996,,,6,R7,3,,0.8,875.00,"1,266","1,262",Affordable,Rent Restricted,All,"Air Conditioning, Clubhouse, Fitness Center, Playground, Property Manager on Site, Package Service, Storage Space, Maintenance on site, Sundeck, Breakfast Nook",,The Franklin Johnston Group,24,68,34,,,37.355749,-77.491532
2800 Bensley Commons Blvd,Chesterfield,VA,23237-1726,Winchester Greens Apartments,Existing,240,Garden,3,Richmond,2000,,,42,R12,2,,2.1,"1,186.00",973,969,Affordable,Rent Restricted,All,"Air Conditioning, Wheelchair Accessible (Rooms)",,Better Housing Coalition,,64,176,,,37.4236177,-77.4418739
7101 Bensley Commons Blvd,Chesterfield,VA,23237,"Market Square I, II, and III",Existing,174,Garden,4,Richmond,2006,,,5,,3,,1.2,801.00,"1,248","1,243",Affordable,Rent Restricted,Senior,"Air Conditioning, Wheelchair Accessible (Rooms)",,Better Housing Coalition,71,103,,,,37.4245944,-77.4415003
4800 Burnt Oak Cir,Chesterfield,VA,23234-2973,The Bend at 4800,Existing,248,Mid-Rise,4,Richmond,2002,,,11,RMF,4,,2.8,"1,049.00","1,408","1,402",Affordable,Rent Restricted,All,"Air Conditioning, Clubhouse, Fitness Center, Picnic Area, Playground, Basketball Court, Wheelchair Accessible (Rooms)",,Beachwold Residential,,122,126,,,37.4531865,-77.4897209
550 Coalfield Rd,Chesterfield,VA,23114,Atlantic at Charter Colony,Existing,113,Mid-Rise,4,Richmond,2006,,,1,R9,4,,0.0,739.00,"1,003","1,000",Affordable,Rent Restricted,Senior,"Air Conditioning, Business Center, Clubhouse, Laundry Facilities, Property Manager on Site, Gated, Tanning Salon, Laundry Service, Planned Social Activities, Wheelchair Accessible (Rooms)",,"CMB Development, LLC",71,42,,,,37.493428,-77.655475
700 Colton Creek Rd,Chesterfield,VA,23113,Brook Creek Crossings,Existing,70,Low-Rise,3,Richmond,2014,,,2,R9,3,,,"1,059.00",870,867,Affordable,Rent Restricted,All,"24 Hour Access, Air Conditioning, Business Center, Clubhouse, Fitness Center, Playground, Pool, Breakfast/Coffee Concierge, Breakfast Nook",LDG Development,LDG Development,6,40,24,,,37.516829,-77.68487
14600 Creekpointe Cir,Chesterfield,VA,23114,Creekpointe Apartments,Existing,214,Garden,3,Richmond,2003,,,16,O2,3,,3.7,"1,154.00","1,223","1,223",Affordable,Rent Restricted,All,"Air Conditioning, Clubhouse, Fitness Center, Pool, Laundry Service, Sundeck, Dining Room, Patio, Wheelchair Accessible (Rooms)",,Peak Capital Partners,,94,120,,,37.466216,-77.6750341
6110 Cricklewood Dr,Chesterfield,VA,23234,SouthPointe Landing Apartments,Existing,192,Garden,2,Richmond,1972,,,19,RMF,2,,5.2,"1,031.00",975,969,Affordable,Rent Restricted,All,"Air Conditioning, Laundry Facilities, Playground, Property Manager on Site, Package Service, Maintenance on site, Dining Room, Vinyl Flooring",,Hivernan Realty Group LLC,,160,32,,,37.443839,-77.448835
6500 Fore Cir,Chesterfield,VA,23832-6504,Courthouse Senior Apartments,Existing,69,Garden,3,Richmond,2002,,,18,A,1,,0.0,684.00,989,986,Affordable,Rent Restricted,Senior,"Air Conditioning, Laundry Facilities, Vinyl Flooring, Wheelchair Accessible (Rooms)",,Peak Capital Partners,57,12,,,,37.3775317,-77.5000366
5301 Grand Oaks Forest Cir,Chesterfield,VA,23831,Grand Oaks Apartment Homes,Existing,216,Garden,3,Richmond,2005,,,27,RMF,2,,1.9,"1,134.00","1,157","1,152",Affordable,Rent Restricted,All,"24 Hour Access, Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Playground, Pet Play Area, Putting Greens, Wheelchair Accessible (Rooms)",,Fairfield,48,103,65,,,37.3538597,-77.4577268
4041 Hailey Crescent Dr,Chesterfield,VA,23112,Genito Glen,Existing,102,Garden,3,Richmond,1998,,,9,C3,3,,0.0,973.00,"1,236","1,233",Affordable,Rent Restricted,All,"Air Conditioning, Clubhouse, Fitness Center, Laundry Facilities, Playground, Pool, Property Manager on Site, Wheelchair Accessible (Rooms)",,"Starwood Real Estate Income Trust, Inc.",,78,24,,,37.435882,-77.590295
4123 Mallard Landing Cir,Chesterfield,VA,23112-3380,Mallard Cove,Existing,252,Garden,3,Richmond,2005,,,12,C3,3,,3.2,999.00,"1,042","1,037",Affordable,Rent Restricted,All,"Air Conditioning, Picnic Area, Playground, Pool, Property Manager on Site, Breakfast/Coffee Concierge, Online Services, Vinyl Flooring, Wheelchair Accessible (Rooms)",,Amurcon Realty Company,,127,104,21,,37.434016,-77.591348
15149 Broadwater Way,Chesterfield,VA,23831,Broadwater Townhomes,Existing,223,Townhome,3,Richmond,2002,,,32,RTH,2,,3.1,"1,489.00","1,343","1,337",Market/Affordable,Rent Restricted,All,"24 Hour Access, Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Grill, Package Service, Storage Space, Maintenance on site, Wheelchair Accessible (Rooms), Window Coverings",,Fairfield,,,190,33,,37.3105155,-77.4275272
6500 Caymus Way,Chesterfield,VA,23234,Meridian Watermark,Existing,300,Mid-Rise,3,Richmond,2011,,,12,C3,4,,4.0,"1,002.00","1,504","1,496",Market/Affordable,Rent Restricted,All,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Pool, Gated, Lounge, Maintenance on site, Dining Room, Window Coverings",,CAPREIT,120,132,48,,,37.418395,-77.504624
11701 Chester Village Dr,Chesterfield,VA,23831-1942,Chester Village Senior Living Community,Existing,163,Mid-Rise,4,Richmond,2005,,,1,C3,4,,0.0,889.00,"1,503","1,499",Market/Affordable,Rent Restricted,Senior,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Property Manager on Site, Storage Space, Elevator, Maintenance on site, Wheelchair Accessible (Rooms), Window Coverings",,The Richman Group of Companies,59,104,,,,37.3591282,-77.4466718
2501 New Park Rd,Chesterfield,VA,23237,Market Woods,Existing,60,Low-Rise,3,Richmond,2020,,,1,,3,,11.5,705.00,927,920,Market/Affordable,Rent Restricted,Senior,"Fitness Center, Laundry Facilities, Property Manager on Site, Security System, Tenant Controlled HVAC, Elevator, Maintenance on site, Wheelchair Accessible (Rooms), Window Coverings, Public Transportation, Private Bathroom",,Better Housing Coalition,22,38,,,,37.4224921,-77.4396854
2554 Noel St,Chesterfield,VA,23237-4470,Bellwood Terrace Apartments,Existing,104,Garden,2,Richmond,1962,,,51,C3,1,,0.0,546.00,640,638,Market/Affordable,Rent Restricted,All,"24 Hour Access, Air Conditioning, Property Manager on Site, Maintenance on site, Freezer, Public Transportation",,"David, Kamp & Frank, LLC",83,21,,,,37.418508,-77.4345264
5001 Ridgedale Pky,Chesterfield,VA,23234,The Park at Ridgedale - +55 Senior Community,Existing,120,Low-Rise,3,Richmond,2003,,,1,O2,3,,5.0,800.00,"1,123","1,116",Market/Affordable,Rent Restricted,Senior,"Air Conditioning, Clubhouse, Courtyard, Fitness Center, Pool, Property Manager on Site, Spa, Planned Social Activities, Smoke Free, Wheelchair Accessible (Rooms)",,The Related Companies,5,115,,,,37.4480838,-77.4918221
2609 Mangowood Dr,Chesterfield,VA,23834-5044,Colonial Ridge,Existing,100,Garden,2,Richmond,1981,2015,,9,R7,3,,2.5,911.00,"1,274","1,268",Affordable,Rent Subsidized,All,"Laundry Facilities, Property Manager on Site, Basketball Court",,"Preservation Partners Management Group, Inc.",,64,36,,,37.3182205,-77.408765
3901 Price Club Blvd,Chesterfield,VA,23112,Rockwood Village,Existing,82,Low-Rise,3,Richmond,2000,,,1,C3,3,,,540.00,525,523,Affordable,Rent Subsidized,Senior,"Air Conditioning, Wheelchair Accessible (Rooms)",,Better Housing Coalition,82,,,,,37.436075,-77.586161
8219 Jefferson Davis Hwy,Chesterfield,VA,23237-1361,,Existing,13,,2,Richmond,1957,,,1,C3,,,,800.00,,,,,All,,,Jim Blackburn,13,,,,,37.4129137,-77.4348938
9608 Jefferson Davis Hwy,Chesterfield,VA,23237,,Existing,13,,2,Richmond,1957,,,,C-5,1,,4.1,,827,823,,,,,,Idris Mohammed,13,,,,,37.3932258,-77.4295826
2537 Norcliff Rd,Chesterfield,VA,23237,,Existing,3,,2,Richmond,1946,,,,R-7,1,,4.1,,,,,,,,,Linda Harris,,,,,,37.4035424,-77.430937
7626 Sandler Dr,Chesterfield,VA,23235-6361,,Existing,1,Low-Rise,3,Richmond,2007,2007,,,,,,4.1,"1,204.00",,,,,,,,,,1,,,,37.47008,-77.53496
12329-12331 Jefferson Davis Hwy,Chesterfield,VA,23831,,Existing,53,,3,Richmond,1969,,,,MH1,,,4.1,,,,,,All,,,project:HOMES,,53,,,,37.3571678,-77.411225
1900 Abberly Cir,Chesterfield,VA,23114,Abberly at CenterPointe,Existing,271,Mid-Rise,4,Richmond,2019,,,5,R7,4,,5.4,957.00,"1,782","1,771",Market,,All,"Clubhouse, Fitness Center, Pool, Gated, Car Wash Area, Gameroom, Pet Play Area, Car Charging Station, Elevator, Lounge, Island Kitchen",HHHunt,HHHunt,118,145,8,,,37.463447,-77.664415
5002 Alan Dr,Chesterfield,VA,23234,Shady Oaks,Existing,16,Garden,2,Richmond,1975,,,8,R-7,1,,4.1,,764,759,Market,,All,,,Peterson Russell Kelly Livengood PLLC,16,,,,,37.453624,-77.446765
2507 Alcott Rd,Chesterfield,VA,23237,Huntwood Apartments,Existing,48,Single-Family Home,2,Richmond,1974,,,7,C-3,1,,4.1,500.00,624,621,Market,,All,,,Sage Commercial Ventures,48,,,,,37.423032,-77.4366379
9111 N Arch Village Ct,Chesterfield,VA,23236,North Arch Village,Existing,128,Garden,2,Richmond,1973,,,8,R-7,2,,0.0,952.00,"1,290","1,287",Market,,All,"Air Conditioning, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Furnished Units Available, Media Center/Movie Theatre, Storage Space, Sundeck, Mother-in-law Unit, Patio",,Liquid Capital,12,92,24,,,37.4952631,-77.5682884
11900 Bellaverde Cir,Chesterfield,VA,23235,The Belvedere,Existing,296,Garden,4,Richmond,2005,,,17,"RMF-RES, Richmond",2,,5.4,"1,036.00","1,662","1,651",Market,,All,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Spa, Gated, Grill, On-Site Retail, Recycling, Storage Space, Window Coverings",,NorthRock Companies,56,209,31,,,37.5217263,-77.6072974
6533 S Beulah Rd,Chesterfield,VA,23237-1070,,Existing,24,Low-Rise,2,Richmond,1965,,,3,A,2,,6.3,511.00,,,Market,,All,Courtyard,,Gagandeep Marwha,24,,,,,37.4340498,-77.4557458
1006 Boulder Lake Ter,Chesterfield,VA,23225,The Boulders Lakeside,Existing,248,Garden,4,Richmond,2020,,,10,RMF,3,,4.9,917.00,"1,774","1,770",Market,,All,"Clubhouse, Courtyard, Fitness Center, Picnic Area, Pool, Property Manager on Site, Maintenance on site","Dominion Realty Partners, LLC",American Landmark,148,100,,,,37.5118752,-77.5326124
725 Boulder Springs Dr,Chesterfield,VA,23225,Birchwood at Boulders Apartments,Existing,284,Garden,3,Richmond,1986,,,22,R7,3,,1.8,"1,104.00","1,668","1,668",Market,,All,"24 Hour Access, Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Pool, Property Manager on Site, Tennis Court, Breakfast/Coffee Concierge, Grill, Package Service, Maintenance on site, Sundeck, Dining Room, Window Coverings",,BH Management Services,90,179,15,,,37.5056553,-77.5326851
2000 Breezy Point Cir,Chesterfield,VA,23235,Clairmont at Chesterfield,Existing,407,Garden,4,Richmond,2014,,,17,,2,,1.1,"1,018.00","1,604","1,599",Market,,All,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Furnished Units Available, Gameroom, Grill, Package Service, Recycling, Lounge, Maintenance on site, Dining Room, Wheelchair Accessible (Rooms)",Kotarides,Kotarides,152,200,55,,,37.516316,-77.604704
500 Bristol Village Dr,Chesterfield,VA,23114,Bristol Village at Charter Colony,Existing,142,Garden,3,Richmond,2005,,,11,R9,3,,0.0,"1,132.00","1,654","1,650",Market,,All,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Picnic Area, Pool, Property Manager on Site, Cabana, Car Wash Area, Furnished Units Available, Gameroom, Grill, Pet Play Area, Recycling, Maintenance on site, Dining Room, Loft Layout, Patio, Wheelchair Accessible (Rooms)",Bristol Development Group,Steven J Hartje,63,66,13,,,37.4909819,-77.6586473
1301 Buckingham Station Dr,Chesterfield,VA,23113,Old Buckingham Station,Existing,360,Garden,3,Richmond,1988,,,14,R7,3,,12.0,"1,027.00","1,688","1,688",Market,,All,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Playground, Pool, Property Manager on Site, Sauna, Spa, Tennis Court, Package Service, Racquetball Court, Volleyball Court, Elevator, Health Club Discount, Lounge, Maintenance on site, Sundeck, Den, Dining Room, Vinyl Flooring, Window Coverings",,General Services Corporation,106,238,16,,,37.5061682,-77.6422259
12051 Chestertowne Rd,Chesterfield,VA,23831,Chester Townhomes,Existing,152,Garden,2,Richmond,1969,,,18,R7,2,,0.0,874.00,"1,258","1,255",Market,,All,"Air Conditioning, Clubhouse, Day Care, Laundry Facilities, Playground, Pool, Laundry Service, Pet Play Area, Patio",,Colony Management Corporation,,135,17,,,37.356051,-77.447804
5201-5223 Collindale Rd,Chesterfield,VA,23234,Collindale Apartments,Existing,20,Garden,2,Richmond,1964,1990,,6,R7,2,,4.1,950.00,806,801,Market,,All,Laundry Facilities,,Great Richmond Rentals,,20,,,,37.4525867,-77.4445528
10200 Colony Village Way,Chesterfield,VA,23237-3374,Colony Village II,Existing,166,Low-Rise,3,Richmond,2017,,,3,C5,2,,20.5,835.00,"1,599","1,598",Market,,All,"Air Conditioning, Business Center, Fitness Center, Pool, Property Manager on Site, Breakfast/Coffee Concierge, Trash Pickup - Door to Door, Wi-Fi, Elevator, Wheelchair Accessible (Rooms), Window Coverings","The Emerson Construction Group, Inc",Plus Management,88,70,8,,,37.385989,-77.4258182
10250 Colony Village Way,Chesterfield,VA,23237,Colony Village,Existing,166,Garden,4,Richmond,2013,,,8,C5,3,,9.0,871.00,"1,490","1,488",Market,,All,"Air Conditioning, Business Center, Fitness Center, Pool, Property Manager on Site, Energy Star Labeled, Breakfast/Coffee Concierge, Trash Pickup - Door to Door, Wi-Fi, Elevator, Wheelchair Accessible (Rooms)","The Emerson Construction Group, Inc",Plus Management,58,83,25,,,37.3868515,-77.4266142
5401 Commonwealth Centre Pky,Chesterfield,VA,23112,Commonwealth Apartments,Existing,234,Mid-Rise,3,Richmond,2022,,,4,,4,,90.2,993.00,"1,771","1,771",Market,,All,"Clubhouse, Pet Play Area, Volleyball Court",,"CMB Development, LLC",118,116,,,,37.4161673,-77.6245689
1500 Concord Ave,Chesterfield,VA,23834-3059,Concord Apartments,Existing,32,Low-Rise,2,Richmond,1985,,,1,R4,2,,,"1,000.00",777,775,Market,,All,Pantry,,Zovest Capital,,32,,,,37.254604,-77.415906
15560 Cosby Village Ave,Chesterfield,VA,23832-2143,Livingston Apartment Flats,Existing,307,Mid-Rise,4,Richmond,2020,,,2,C-3,4,,6.0,"1,017.00","1,769","1,766",Market,,All,"24 Hour Access, Air Conditioning, Business Center, Clubhouse, Fitness Center, Pool, Gated, Breakfast/Coffee Concierge, Cabana, Gameroom, Grill, Package Service, Pet Play Area, Planned Social Activities, Recycling, Trash Pickup - Door to Door, Walking/Biking Trails, Wi-Fi, Bicycle Storage, Car Charging Station, Community-Wide WiFi, Conference Rooms, Elevator, Lounge, Online Services, Pet Care, Pet Washing Station, Sundeck, Freezer","LIV Development, LLC",Capital Square Realty Advisors,130,154,23,,,37.4024981,-77.710331
4201 Creek Way,Chesterfield,VA,23831,Ashton Creek,Existing,232,Garden,3,Richmond,1990,,,25,RMF,2,,3.9,"1,004.00","1,628","1,627",Market,,All,"24 Hour Access, Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Tennis Court, Basketball Court, Car Wash Area, Furnished Units Available, Grill, Volleyball Court, Walking/Biking Trails, Maintenance on site, Deck, Patio, Wheelchair Accessible (Rooms)",,"PRG Real Estate Management, Inc.",26,126,80,,,37.3441526,-77.4411732
6101 Crowne Creek Dr,Chesterfield,VA,23112,Crowne Village at Swift Creek,Existing,276,Garden,4,Richmond,2009,,,15,O2,2,,2.7,"1,174.00","1,812","1,804",Market,,All,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Pool, Gated, Package Service, Wi-Fi, Wheelchair Accessible (Rooms)",,"Crowne Partners, Inc.",66,166,44,,,37.4120888,-77.6419567
1920 Dunlap Cres,Chesterfield,VA,23836,White Oak Luxury Apartments,Existing,322,Garden,4,Richmond,2008,,,14,C5,3,,2.5,"1,114.00","1,800","1,800",Market,,All,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Playground, Pool, Property Manager on Site, Package Service, Storage Space, Maintenance on site, Sundeck, Wheelchair Accessible (Rooms), Window Coverings",,"The Emerson Construction Group, Inc",28,210,84,,,37.3566087,-77.3987191
10801 Dylans Walk Rd,Chesterfield,VA,23831,Garden Springs,Existing,212,Garden,4,Richmond,2010,,,18,RMF,3,,4.7,"1,128.00","1,923","1,923",Market,,All,"Air Conditioning, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Playground, Pool, Property Manager on Site, Tennis Court, Gated, Breakfast/Coffee Concierge, Package Service, Storage Space, Lounge, Maintenance on site, Sundeck, Dining Room, Vinyl Flooring, Window Coverings",,Kushner Companies,48,108,56,,,37.366585,-77.493655
13300 Enclave Dr,Chesterfield,VA,23114,Enclave Apartments,Existing,254,Garden,4,Richmond,2007,,,15,RMF,3,,2.0,"1,007.00","1,656","1,649",Market,,All,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Furnished Units Available, Grill, Package Service, Walking/Biking Trails, Wi-Fi, Smoke Free, Wheelchair Accessible (Rooms)",,Edward Rose & Sons,66,134,54,,,37.4962222,-77.6483398
13504 Evelyn Dr,Chesterfield,VA,23831-5235,Laketree Manor Apartments,Existing,50,Garden,3,Richmond,1973,,,7,R7,2,,2.0,827.00,"1,255","1,250",Market,,All,"Air Conditioning, Laundry Facilities, Playground, Property Manager on Site, Maintenance on site","NRS Realty, LLC",The Apartment Gallery,,31,15,4,,37.3405376,-77.4162353
3524 Festival Park Plz,Chesterfield,VA,23831-4449,Chester Village Green Apartments,Existing,137,Garden,4,Richmond,2004,,,6,C3,2,,1.5,"1,002.00","1,620","1,619",Market,,All,"24 Hour Access, Air Conditioning, Fitness Center, Playground, Property Manager on Site, Tennis Court, Grill, Package Service, Trash Pickup - Door to Door, Storage Space, Conference Rooms, Online Services, Deck, Patio, Porch, Wheelchair Accessible (Rooms)",,Emerson Builders,,132,5,,,37.3622413,-77.4508597
3524 Festival Park Plz,Chesterfield,VA,23831,Festival Park Apartments,Existing,99,Garden,3,Richmond,2004,,,9,C3,2,,3.0,"1,054.00","1,508","1,501",Market,,All,"Air Conditioning, Clubhouse, Fitness Center, Playground, Property Manager on Site, Tennis Court, Grill, Pet Play Area, Wheelchair Accessible (Rooms)",,Emerson Builders,5,56,38,,,37.36063,-77.447837
4300-4318 Fountain Square Dr,Chesterfield,VA,23831,Fountain Square,Existing,37,Low-Rise,3,Richmond,2017,,,1,C-3,2,,,749.00,"1,129","1,126",Market,,All,,"The McBar Realty Group, LLC","The McBar Realty Group, Ltd.",23,11,,,3,37.3590129,-77.4454843
18101 Golden Bear Trace,Chesterfield,VA,23120,Glenmoor Oaks,Existing,248,Mid-Rise,4,Richmond,2020,,,8,R9,4,,8.9,928.00,"1,709","1,707",Market,,All,"Clubhouse, Fitness Center, Pool, Gameroom, Grill, Pet Play Area, Patio",Schell Brothers,iStar Inc.,56,128,64,,,37.395725,-77.7405882
2260 Golden Garden Cir,Chesterfield,VA,23836,Chesterfield Gardens,Existing,105,Garden,4,Richmond,2002,,,7,C3,2,,1.9,"1,004.00","1,565","1,564",Market,,All,"Business Center, Clubhouse, Playground, Property Manager on Site, Tennis Court, Grill",,Plus Management,,100,5,,,37.3248582,-77.3184541
2796 Goolsby Ave,Chesterfield,VA,23234-4436,Heritage Pointe Apartments,Existing,110,Garden,3,Richmond,1968,,,6,R7,2,,0.9,888.00,"1,039","1,035",Market,,All,"Air Conditioning, Pool, Property Manager on Site, Maintenance on site, Dining Room, Wheelchair Accessible (Rooms), Window Coverings",,"KRS Holdings, Inc.",,110,,,,37.4520676,-77.4467055
5520-5620 Handel Ct,Chesterfield,VA,23234,Pocoshock Ridge Apartments,Existing,156,Garden,2,Richmond,1989,,,9,,2,,4.1,895.00,,,Market,,All,Air Conditioning,,Pocoshock Ridge Apartments Llc,52,83,16,,5,37.462315,-77.502341
